"Downloaded on",02/22/2024,"01:32:11 EST"
"H.R. 1004",https://www.congress.gov/bill/117th-congress/house-bill/1004,"117th Congress (2021-2022)"
"H.R. 135",https://www.congress.gov/bill/117th-congress/house-bill/135,"117th Congress (2021-2022)"
"H.R. 1961",https://www.congress.gov/bill/117th-congress/house-bill/1961,"117th Congress (2021-2022)"
"H.R. 4992",https://www.congress.gov/bill/117th-congress/house-bill/4992,"117th Congress (2021-2022)"
"S. 1920",https://www.congress.gov/bill/117th-congress/senate-bill/1920,"117th Congress (2021-2022)"
"S. 1373",https://www.congress.gov/bill/117th-congress/senate-bill/1373,"117th Congress (2021-2022)"
"H.R. 2890",https://www.congress.gov/bill/117th-congress/house-bill/2890,"117th Congress (2021-2022)"
"H.R. 1787",https://www.congress.gov/bill/117th-congress/house-bill/1787,"117th Congress (2021-2022)"
"H.R. 6722",https://www.congress.gov/bill/117th-congress/house-bill/6722,"117th Congress (2021-2022)"
"S. 2725",https://www.congress.gov/bill/117th-congress/senate-bill/2725,"117th Congress (2021-2022)"
"H.R. 7819",https://www.congress.gov/bill/117th-congress/house-bill/7819,"117th Congress (2021-2022)"
"H.Res. 820",https://www.congress.gov/bill/117th-congress/house-resolution/820,"117th Congress (2021-2022)"
"H.R. 1782",https://www.congress.gov/bill/117th-congress/house-bill/1782,"117th Congress (2021-2022)"
"H.Res. 1227",https://www.congress.gov/bill/117th-congress/house-resolution/1227,"117th Congress (2021-2022)"
"S.Res. 636",https://www.congress.gov/bill/117th-congress/senate-resolution/636,"117th Congress (2021-2022)"
"H.Res. 1293",https://www.congress.gov/bill/117th-congress/house-resolution/1293,"117th Congress (2021-2022)"
"H.R. 5427",https://www.congress.gov/bill/117th-congress/house-bill/5427,"117th Congress (2021-2022)"
"S. 529",https://www.congress.gov/bill/117th-congress/senate-bill/529,"117th Congress (2021-2022)"
"H.R. 6225",https://www.congress.gov/bill/117th-congress/house-bill/6225,"117th Congress (2021-2022)"
"H.Res. 1414",https://www.congress.gov/bill/117th-congress/house-resolution/1414,"117th Congress (2021-2022)"
