"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"H.R. 2037",https://www.congress.gov/bill/106th-congress/house-bill/2037,"106th Congress (1999-2000)","Child Safety and Youth Violence Prevention Act of 1999",Republican,06/08/1999
"S. 319",https://www.congress.gov/bill/106th-congress/senate-bill/319,"106th Congress (1999-2000)","Childproof Handgun Act of 1999",Democratic,01/28/1999
"S. 640",https://www.congress.gov/bill/106th-congress/senate-bill/640,"106th Congress (1999-2000)","Safer Communities Partnership Act of 1999",Democratic,03/17/1999
"S. 2324",https://www.congress.gov/bill/106th-congress/senate-bill/2324,"106th Congress (1999-2000)","Ballistics, Law Assistance, and Safety Technology Act (BLAST)",Democratic,03/29/2000
"S. 254",https://www.congress.gov/bill/106th-congress/senate-bill/254,"106th Congress (1999-2000)","Violent and Repeat Juvenile Offender Accountability and Rehabilitation Act of 1999",Republican,01/20/1999
"H.R. 1501",https://www.congress.gov/bill/106th-congress/house-bill/1501,"106th Congress (1999-2000)","Violent and Repeat Juvenile Offender Accountability and Rehabilitation Act of 1999",Republican,04/21/1999
"H.R. 4346",https://www.congress.gov/bill/106th-congress/house-bill/4346,"106th Congress (1999-2000)","Safe and Successful Schools Act",Democratic,05/02/2000
"S. 9",https://www.congress.gov/bill/106th-congress/senate-bill/9,"106th Congress (1999-2000)","Safe Schools, Safe Streets, and Secure Borders Act of 1999",Democratic,01/19/1999
"S. 1134",https://www.congress.gov/bill/106th-congress/senate-bill/1134,"106th Congress (1999-2000)","Affordable Education Act of 2000",Republican,05/26/1999
"H.R. 3873",https://www.congress.gov/bill/106th-congress/house-bill/3873,"106th Congress (1999-2000)","Alternative Education for Safe Schools and Safe Communities Act of 2000",Democratic,03/09/2000
"H.R. 407",https://www.congress.gov/bill/106th-congress/house-bill/407,"106th Congress (1999-2000)","Second Amendment Restoration Act of 1999",Republican,01/19/1999
"H.Con.Res. 359",https://www.congress.gov/bill/106th-congress/house-concurrent-resolution/359,"106th Congress (1999-2000)","Expressing the sense of the Congress that the carrying of firearms into places of worship or educational and scholastic settings should be prohibited.",Democratic,06/21/2000
"S.Res. 295",https://www.congress.gov/bill/106th-congress/senate-resolution/295,"106th Congress (1999-2000)","A resolution expressing the sense of the Senate that the carrying of firearms into places of worship or educational and scholastic settings should be prohibited.",Democratic,04/25/2000
"H.R. 5031",https://www.congress.gov/bill/106th-congress/house-bill/5031,"106th Congress (1999-2000)","Child Handgun Injury Prevention Act of 2000",Democratic,07/27/2000
"S. 2810",https://www.congress.gov/bill/106th-congress/senate-bill/2810,"106th Congress (1999-2000)","Child Handgun Injury Prevention Act of 2000",Democratic,06/28/2000
"S. 152",https://www.congress.gov/bill/106th-congress/senate-bill/152,"106th Congress (1999-2000)","Real Cost of Destructive Ammunition Act",Democratic,01/19/1999
"S. 716",https://www.congress.gov/bill/106th-congress/senate-bill/716,"106th Congress (1999-2000)","21st Century Safe and Sound Communities Act",Democratic,03/25/1999
"H.R. 347",https://www.congress.gov/bill/106th-congress/house-bill/347,"106th Congress (1999-2000)","Citizens' Self-Defense Act of 1999",Republican,01/19/1999
"S. 1465",https://www.congress.gov/bill/106th-congress/senate-bill/1465,"106th Congress (1999-2000)","Safe Schools Act of 1999",Democratic,07/29/1999
"H.Res. 205",https://www.congress.gov/bill/106th-congress/house-resolution/205,"106th Congress (1999-2000)","Expressing the sense of the House of Representatives with regard to Project Exile and the prosecution of Federal firearms offenses.",Republican,06/10/1999
"H.R. 5123",https://www.congress.gov/bill/106th-congress/house-bill/5123,"106th Congress (1999-2000)","To require the Secretary of Education to provide notification to States and State educational agencies regarding the availability of certain administrative funds to establish school safety hotlines.",Republican,09/07/2000
"H.J.Res. 65",https://www.congress.gov/bill/106th-congress/house-joint-resolution/65,"106th Congress (1999-2000)","Commending the World War II veterans who fought in the Battle of the Bulge, and for other purposes.",Republican,08/05/1999
"S. 967",https://www.congress.gov/bill/106th-congress/senate-bill/967,"106th Congress (1999-2000)","Concealed Firearms Prohibition Act",Democratic,05/05/1999
"H.Con.Res. 421",https://www.congress.gov/bill/106th-congress/house-concurrent-resolution/421,"106th Congress (1999-2000)","Expressing the sense of the Congress with respect to the accomplishments of the U.S.S. Tennessee (BB-43) during World War II.",Republican,10/10/2000
"S. 149",https://www.congress.gov/bill/106th-congress/senate-bill/149,"106th Congress (1999-2000)","Child Safety Lock Act of 1999",Democratic,01/19/1999
"S. 1252",https://www.congress.gov/bill/106th-congress/senate-bill/1252,"106th Congress (1999-2000)","Standardized School Report Card Act",Democratic,06/21/1999
"H.R. 3642",https://www.congress.gov/bill/106th-congress/house-bill/3642,"106th Congress (1999-2000)","A bill to authorize the President to award posthumously a gold medal on behalf of the Congress to Charles M. Schulz in recognition of his lasting artistic contributions to the Nation and the world, and for other purposes.",Democratic,02/10/2000
"S.Res. 373",https://www.congress.gov/bill/106th-congress/senate-resolution/373,"106th Congress (1999-2000)","A resolution recognizing the 225th birthday of the United States Navy.",Republican,10/12/2000
"S. 1727",https://www.congress.gov/bill/106th-congress/senate-bill/1727,"106th Congress (1999-2000)","Palace of the Governors Annex Act",Republican,10/14/1999
"S. 1190",https://www.congress.gov/bill/106th-congress/senate-bill/1190,"106th Congress (1999-2000)","A bill to apply the Consumer Product Safety Act to firearms and ammunition.",Democratic,06/09/1999
"H.Res. 147",https://www.congress.gov/bill/106th-congress/house-resolution/147,"106th Congress (1999-2000)","Supporting the goals and ideas and commending the organizers of ""Children's Memorial Day"".",Democratic,04/22/1999
"H.R. 3144",https://www.congress.gov/bill/106th-congress/house-bill/3144,"106th Congress (1999-2000)","Providing Reliable Officers, Technology, Education, Community Prosecutors, and Training In Our Neighborhoods Act of 1999",Democratic,10/25/1999
"S. 1760",https://www.congress.gov/bill/106th-congress/senate-bill/1760,"106th Congress (1999-2000)","PROTECTION Act",Democratic,10/21/1999
"S.Con.Res. 44",https://www.congress.gov/bill/106th-congress/senate-concurrent-resolution/44,"106th Congress (1999-2000)","A concurrent resolution expressing the sense of Congress that a commemorative postage stamp should be issued in honor of the U.S.S. New Jersey and all those who served aboard her.",Democratic,07/19/1999
"H.Con.Res. 90",https://www.congress.gov/bill/106th-congress/house-concurrent-resolution/90,"106th Congress (1999-2000)","Expressing the sense of Congress that all Members mourn the loss of life at Columbine High School in Littleton, Colorado, and condemn this and previous incidents of deadly violence in our Nation's schools.",Democratic,04/21/1999
"H.Con.Res. 119",https://www.congress.gov/bill/106th-congress/house-concurrent-resolution/119,"106th Congress (1999-2000)","Expressing the sense of the Congress that a commemorative postage stamp should be issued in honor of the U.S.S. New Jersey and all those who served aboard her.",Republican,05/26/1999
"H.R. 4000",https://www.congress.gov/bill/106th-congress/house-bill/4000,"106th Congress (1999-2000)","Crime Bullet Tracing Initiative",Democratic,03/16/2000
"S. 538",https://www.congress.gov/bill/106th-congress/senate-bill/538,"106th Congress (1999-2000)","Protect Children From Violence Act",Republican,03/04/1999
"H.R. 4126",https://www.congress.gov/bill/106th-congress/house-bill/4126,"106th Congress (1999-2000)","Palace of the Governors Expansion Act",Democratic,03/29/2000
"S.Res. 317",https://www.congress.gov/bill/106th-congress/senate-resolution/317,"106th Congress (1999-2000)","A resolution expressing the sense of the Senate to congratulate and thank the members of the United States Armed Forces who participated in the June 6, 1944, D-Day invasion of Europe for forever changing the course of history by helping bring an end to World War II.",Democratic,06/07/2000
"S.J.Res. 32",https://www.congress.gov/bill/106th-congress/senate-joint-resolution/32,"106th Congress (1999-2000)","A joint resolution commending the World War II veterans who fought in the Battle of the Bulge, and for other purposes.",Republican,08/05/1999
"S.J.Res. 51",https://www.congress.gov/bill/106th-congress/senate-joint-resolution/51,"106th Congress (1999-2000)","A joint resolution authorizing special awards to veterans of service as United States Navy Armed Guards during World War I or World War II.",Democratic,09/06/2000
"H.R. 4141",https://www.congress.gov/bill/106th-congress/house-bill/4141,"106th Congress (1999-2000)","Education Opportunities To Protect and Invest In Our Nation's Students (Education OPTIONS) Act",Republican,03/30/2000
"H.Con.Res. 325",https://www.congress.gov/bill/106th-congress/house-concurrent-resolution/325,"106th Congress (1999-2000)","Expressing the sense of Congress regarding the need to more appropriately address the health and well being of Hispanic adolescent girls and endorsing the findings and recommendations of the National Coalition of Hispanic Health and Human Services Organizations (COSSMHO) now known as The National Alliance for Hispanic Health.",Democratic,05/11/2000
"S. 2060",https://www.congress.gov/bill/106th-congress/senate-bill/2060,"106th Congress (1999-2000)","A bill to authorize the President to award a gold medal on behalf of the Congress to Charles M. Schulz in recognition of his lasting artistic contributions to the Nation and the world, and for other purposes.",Democratic,02/10/2000
"H.R. 4819",https://www.congress.gov/bill/106th-congress/house-bill/4819,"106th Congress (1999-2000)","To amend the Wildlife Services Program of the Department of Agriculture to emphasize the use of nonlethal methods of predator control for livestock protection and to target assistance under the program to operators of small farms and ranches through grants, training, and research regarding the use of nonlethal methods to predator control.",Democratic,07/10/2000
"H.R. 2025",https://www.congress.gov/bill/106th-congress/house-bill/2025,"106th Congress (1999-2000)","Childproof Handgun Act of 1999",Democratic,06/07/1999
"H.R. 1670",https://www.congress.gov/bill/106th-congress/house-bill/1670,"106th Congress (1999-2000)","Presidential Commission to Study the Culture and Glorification of Violence in America Act",Democratic,05/04/1999
"S.Res. 163",https://www.congress.gov/bill/106th-congress/senate-resolution/163,"106th Congress (1999-2000)","A resolution to establish a special committee of the Senate to study the causes of firearms violence in America.",Democratic,07/26/1999
"H.R. 4403",https://www.congress.gov/bill/106th-congress/house-bill/4403,"106th Congress (1999-2000)","Law Enforcement Science and Technology Act of 2000",Republican,05/09/2000
"H.R. 2832",https://www.congress.gov/bill/106th-congress/house-bill/2832,"106th Congress (1999-2000)","United States Life-Saving Service Heritage Act",Democratic,09/09/1999
"H.R. 2421",https://www.congress.gov/bill/106th-congress/house-bill/2421,"106th Congress (1999-2000)","Law Enforcement Official Protection and Officer John C. Knight Memorial Act of 1999",Democratic,07/01/1999
"S. 2525",https://www.congress.gov/bill/106th-congress/senate-bill/2525,"106th Congress (1999-2000)","Firearm Licensing and Record of Sale Act of 2000",Democratic,05/09/2000
"H.R. 1032",https://www.congress.gov/bill/106th-congress/house-bill/1032,"106th Congress (1999-2000)","Firearms Heritage Protection Act of 1999",Republican,03/09/1999
"H.R. 3251",https://www.congress.gov/bill/106th-congress/house-bill/3251,"106th Congress (1999-2000)","America's Youth Commission Act of 1999",Democratic,11/08/1999
"S. 993",https://www.congress.gov/bill/106th-congress/senate-bill/993,"106th Congress (1999-2000)","Juvenile Justice and Delinquency Prevention Act of 1999",Democratic,05/10/1999
"H.R. 5094",https://www.congress.gov/bill/106th-congress/house-bill/5094,"106th Congress (1999-2000)","Health Care Fraud Prevention and Paperwork Reduction Act of 2000",Republican,07/27/2000
"H.R. 3455",https://www.congress.gov/bill/106th-congress/house-bill/3455,"106th Congress (1999-2000)","Give a Kid a Chance Omnibus Mental Health Services Act of 1999",Democratic,11/18/1999
"H.R. 3300",https://www.congress.gov/bill/106th-congress/house-bill/3300,"106th Congress (1999-2000)","Doctors' Bill of Rights Act of 1999",Democratic,11/10/1999
"H.R. 4425",https://www.congress.gov/bill/106th-congress/house-bill/4425,"106th Congress (1999-2000)","Making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 2001, and for other purposes.",Republican,05/11/2000
"H.R. 515",https://www.congress.gov/bill/106th-congress/house-bill/515,"106th Congress (1999-2000)","Child Handgun Injury Prevention Act",Democratic,02/03/1999
"S. 1898",https://www.congress.gov/bill/106th-congress/senate-bill/1898,"106th Congress (1999-2000)","Jeanna's Act",Democratic,11/09/1999
"S. 899",https://www.congress.gov/bill/106th-congress/senate-bill/899,"106th Congress (1999-2000)","21st Century Justice Act of 1999",Republican,04/28/1999
"H.R. 5595",https://www.congress.gov/bill/106th-congress/house-bill/5595,"106th Congress (1999-2000)","Hispanic Health Act of 2000",Democratic,10/27/2000
"H.R. 4915",https://www.congress.gov/bill/106th-congress/house-bill/4915,"106th Congress (1999-2000)","Handgun Licensing and Record of Sale Act of 2000",Democratic,07/20/2000
"S. 1180",https://www.congress.gov/bill/106th-congress/senate-bill/1180,"106th Congress (1999-2000)","Educational Excellence for All Children Act of 1999",Democratic,05/27/1999
"H.R. 1960",https://www.congress.gov/bill/106th-congress/house-bill/1960,"106th Congress (1999-2000)","Educational Excellence for All Children Act of 1999",Democratic,05/26/1999
"H.Con.Res. 68",https://www.congress.gov/bill/106th-congress/house-concurrent-resolution/68,"106th Congress (1999-2000)","Establishing the congressional budget for the United States Government for fiscal year 2000 and setting forth appropriate budgetary levels for each of fiscal years 2001 through 2009.",Republican,03/23/1999
"H.Con.Res. 290",https://www.congress.gov/bill/106th-congress/house-concurrent-resolution/290,"106th Congress (1999-2000)","Establishing the congressional budget for the United States Government for fiscal year 2001, revising the congressional budget for the United States Government for fiscal year 2000, and setting forth appropriate budgetary levels for each of fiscal years 2002 through 2005.",Republican,03/20/2000
"H.R. 4635",https://www.congress.gov/bill/106th-congress/house-bill/4635,"106th Congress (1999-2000)","Department of Veterans Affairs and Housing and Urban Development, and Independent Agencies Appropriations Act, 2001",Republican,06/12/2000
"S. 2",https://www.congress.gov/bill/106th-congress/senate-bill/2,"106th Congress (1999-2000)","Educational Opportunities Act",Republican,01/19/1999
"H.R. 5548",https://www.congress.gov/bill/106th-congress/house-bill/5548,"106th Congress (1999-2000)","Making appropriations for the Departments of Commerce, Justice, and State, the Judiciary, and related agencies for the fiscal year ending September 30, 2001, and for other purposes.",Republican,10/25/2000
"S. 1969",https://www.congress.gov/bill/106th-congress/senate-bill/1969,"106th Congress (1999-2000)","Outfitter Policy Act of 1999",Republican,11/18/1999
"S. 2553",https://www.congress.gov/bill/106th-congress/senate-bill/2553,"106th Congress (1999-2000)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2001",Republican,05/12/2000
"S. 1650",https://www.congress.gov/bill/106th-congress/senate-bill/1650,"106th Congress (1999-2000)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000",Republican,09/28/1999
"S. 1282",https://www.congress.gov/bill/106th-congress/senate-bill/1282,"106th Congress (1999-2000)","Treasury and General Government Appropriations Act, 2000",Republican,06/24/1999
"S. 3046",https://www.congress.gov/bill/106th-congress/senate-bill/3046,"106th Congress (1999-2000)","Bankruptcy Reform Act of 2000",Republican,09/14/2000
"S. 2900",https://www.congress.gov/bill/106th-congress/senate-bill/2900,"106th Congress (1999-2000)","Treasury and General Government Appropriations Act, 2001 ",Republican,07/20/2000
"H.R. 3037",https://www.congress.gov/bill/106th-congress/house-bill/3037,"106th Congress (1999-2000)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000",Republican,10/07/1999
"S. 5",https://www.congress.gov/bill/106th-congress/senate-bill/5,"106th Congress (1999-2000)","Drug-Free Century Act",Republican,01/19/1999
"S. 2536",https://www.congress.gov/bill/106th-congress/senate-bill/2536,"106th Congress (1999-2000)","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2001",Republican,05/10/2000
"H.R. 3424",https://www.congress.gov/bill/106th-congress/house-bill/3424,"106th Congress (1999-2000)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000",Republican,11/17/1999
"H.R. 4163",https://www.congress.gov/bill/106th-congress/house-bill/4163,"106th Congress (1999-2000)","Taxpayer Bill of Rights 2000",Republican,04/04/2000
"H.R. 2490",https://www.congress.gov/bill/106th-congress/house-bill/2490,"106th Congress (1999-2000)","Treasury and General Government Appropriations Act, 2000",Republican,07/13/1999
"S. 2481",https://www.congress.gov/bill/106th-congress/senate-bill/2481,"106th Congress (1999-2000)","National Defense Authorization Act for Fiscal Year 2001",Republican,04/27/2000
"H.R. 1401",https://www.congress.gov/bill/106th-congress/house-bill/1401,"106th Congress (1999-2000)","National Defense Authorization Act for Fiscal Year 2000",Republican,04/14/1999
"H.R. 5656",https://www.congress.gov/bill/106th-congress/house-bill/5656,"106th Congress (1999-2000)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2001",Republican,12/14/2000
"H.R. 3427",https://www.congress.gov/bill/106th-congress/house-bill/3427,"106th Congress (1999-2000)","Admiral James W. Nance and Meg Donovan Foreign Relations Authorization Act, Fiscal Years 2000 and 2001",Republican,11/17/1999
"H.R. 2561",https://www.congress.gov/bill/106th-congress/house-bill/2561,"106th Congress (1999-2000)","Department of Defense Appropriations Act, 2000",Republican,07/20/1999
"S. 1122",https://www.congress.gov/bill/106th-congress/senate-bill/1122,"106th Congress (1999-2000)","Department of Defense Appropriations Act, 2000",Republican,05/25/1999
"H.R. 4942",https://www.congress.gov/bill/106th-congress/house-bill/4942,"106th Congress (1999-2000)","District of Columbia Appropriations Act, 2001",Republican,07/25/2000
"H.R. 4577",https://www.congress.gov/bill/106th-congress/house-bill/4577,"106th Congress (1999-2000)","Consolidated Appropriations Act, 2001",Republican,06/01/2000
"S. 2783",https://www.congress.gov/bill/106th-congress/senate-bill/2783,"106th Congress (1999-2000)","21st Century Law Enforcement and Public Safety Act",Democratic,06/26/2000
"S. 1059",https://www.congress.gov/bill/106th-congress/senate-bill/1059,"106th Congress (1999-2000)","National Defense Authorization Act for Fiscal Year 2000",Republican,05/17/1999
"H.R. 833",https://www.congress.gov/bill/106th-congress/house-bill/833,"106th Congress (1999-2000)","Bankruptcy Reform Act of 2000",Republican,02/24/1999
"S. 2550",https://www.congress.gov/bill/106th-congress/senate-bill/2550,"106th Congress (1999-2000)","Department of Defense Authorization Act for Fiscal Year 2001",Republican,05/12/2000
"H.R. 4578",https://www.congress.gov/bill/106th-congress/house-bill/4578,"106th Congress (1999-2000)","Department of the Interior and Related Agencies Appropriations Act, 2001",Republican,06/01/2000
"H.R. 2",https://www.congress.gov/bill/106th-congress/house-bill/2,"106th Congress (1999-2000)","Student Results Act of 1999",Republican,02/11/1999
"H.R. 3064",https://www.congress.gov/bill/106th-congress/house-bill/3064,"106th Congress (1999-2000)","District of Columbia Appropriations Act, 2000",Republican,10/13/1999
"H.R. 3194",https://www.congress.gov/bill/106th-congress/house-bill/3194,"106th Congress (1999-2000)","Consolidated Appropriations Act, 2000",Republican,11/02/1999
"H.R. 4205",https://www.congress.gov/bill/106th-congress/house-bill/4205,"106th Congress (1999-2000)","Floyd D. Spence National Defense Authorization Act for Fiscal Year 2001",Republican,04/06/2000
"S. 420",https://www.congress.gov/bill/106th-congress/senate-bill/420,"106th Congress (1999-2000)","Crime Control Act of 1999",Republican,02/11/1999
"S.Con.Res. 101",https://www.congress.gov/bill/106th-congress/senate-concurrent-resolution/101,"106th Congress (1999-2000)","An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal years 2001 through 2005  and revising the budgetary levels for fiscal year 2000.",Republican,03/31/2000
"S. 2521",https://www.congress.gov/bill/106th-congress/senate-bill/2521,"106th Congress (1999-2000)","An original bill making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 2001, and for other purposes.",Republican,05/09/2000
"S. 2549",https://www.congress.gov/bill/106th-congress/senate-bill/2549,"106th Congress (1999-2000)","National Defense Authorization Act for Fiscal Year 2001",Republican,05/12/2000
"H.R. 116",https://www.congress.gov/bill/105th-congress/house-bill/116,"105th Congress (1997-1998)","Gun Safety Act",Democratic,01/07/1997
"H.R. 4290",https://www.congress.gov/bill/105th-congress/house-bill/4290,"105th Congress (1997-1998)","Gun Buy Back Partnership Grant Act of 1998",Democratic,07/21/1998
"S. 2527",https://www.congress.gov/bill/105th-congress/senate-bill/2527,"105th Congress (1997-1998)","A bill to better regulate the transfer of firearms at gun shows.",Democratic,09/29/1998
"H.R. 4442",https://www.congress.gov/bill/105th-congress/house-bill/4442,"105th Congress (1997-1998)","To better regulate the transfer of firearms at gun shows.",Democratic,08/06/1998
"H.R. 3833",https://www.congress.gov/bill/105th-congress/house-bill/3833,"105th Congress (1997-1998)","To better regulate the transfer of firearms at gun shows.",Democratic,05/12/1998
"S. 796",https://www.congress.gov/bill/105th-congress/senate-bill/796,"105th Congress (1997-1998)","Gun Kingpin Death Penalty Act of 1997",Democratic,05/22/1997
"S.Res. 264",https://www.congress.gov/bill/105th-congress/senate-resolution/264,"105th Congress (1997-1998)","A resolution to designate October 8, 1998 as ""the Day of Concern About Young People and Gun Violence"".",Democratic,07/31/1998
"S.Res. 141",https://www.congress.gov/bill/105th-congress/senate-resolution/141,"105th Congress (1997-1998)","A resolution expressing the sense of the Senate regarding National Concern About Young People and Gun Violence Day.",Democratic,10/29/1997
"S. 466",https://www.congress.gov/bill/105th-congress/senate-bill/466,"105th Congress (1997-1998)","Anti-Gun Trafficking Act of 1997",Democratic,03/18/1997
"H.R. 2984",https://www.congress.gov/bill/105th-congress/house-bill/2984,"105th Congress (1997-1998)","To provide an exemption from the Gun-Free School Zones Act of 1990 for conduct that does not violate State or local law.",Republican,11/09/1997
"H.R. 2359",https://www.congress.gov/bill/105th-congress/house-bill/2359,"105th Congress (1997-1998)","Gun Shop Safety Act of 1997",Democratic,07/31/1997
"S. 922",https://www.congress.gov/bill/105th-congress/senate-bill/922,"105th Congress (1997-1998)","Gun Shop Safety Act of 1997",Democratic,06/17/1997
"S. 2128",https://www.congress.gov/bill/105th-congress/senate-bill/2128,"105th Congress (1997-1998)","No Gun Tax Act of 1998",Republican,06/02/1998
"H.R. 4073",https://www.congress.gov/bill/105th-congress/house-bill/4073,"105th Congress (1997-1998)","Children's Gun Violence Prevention Act of 1998",Democratic,06/17/1998
"H.J.Res. 99",https://www.congress.gov/bill/105th-congress/house-joint-resolution/99,"105th Congress (1997-1998)","Expressing the appreciation of Congress and the American people for the service performed during World War I and World War II by members of the Navy who were assigned as gun crews on board merchant ships as part of the Naval Armed Guard Service.",Republican,11/06/1997
"H.R. 826",https://www.congress.gov/bill/105th-congress/house-bill/826,"105th Congress (1997-1998)","Gun Retention Act of 1997",Republican,02/25/1997
"S. 2185",https://www.congress.gov/bill/105th-congress/senate-bill/2185,"105th Congress (1997-1998)","Children's Gun Violence Prevention Act of 1998",Democratic,06/17/1998
"H.R. 1570",https://www.congress.gov/bill/105th-congress/house-bill/1570,"105th Congress (1997-1998)","Anti-Gun Invasion Act of 1997",Democratic,05/08/1997
"S. 723",https://www.congress.gov/bill/105th-congress/senate-bill/723,"105th Congress (1997-1998)","Anti-Gun Invasion Act of 1997",Democratic,05/08/1997
"H.R. 1264",https://www.congress.gov/bill/105th-congress/house-bill/1264,"105th Congress (1997-1998)","Gun Kingpin Penalty Act",Democratic,04/09/1997
"S. 658",https://www.congress.gov/bill/105th-congress/senate-bill/658,"105th Congress (1997-1998)","Gun Kingpin Penalty Act",Democratic,04/25/1997
"H.R. 3949",https://www.congress.gov/bill/105th-congress/house-bill/3949,"105th Congress (1997-1998)","No Gun Tax Act of 1998",Republican,05/22/1998
"S. 191",https://www.congress.gov/bill/105th-congress/senate-bill/191,"105th Congress (1997-1998)","A bill to throttle criminal use of guns.",Republican,01/22/1997
"S. 43",https://www.congress.gov/bill/105th-congress/senate-bill/43,"105th Congress (1997-1998)","A bill to throttle criminal use of guns.",Republican,01/21/1997
"H.R. 4146",https://www.congress.gov/bill/105th-congress/house-bill/4146,"105th Congress (1997-1998)","To encourage States to require a holding period for any student expelled for bringing a gun to school.",Democratic,06/25/1998
"S. 2169",https://www.congress.gov/bill/105th-congress/senate-bill/2169,"105th Congress (1997-1998)","A bill to encourage States to require a holding period for any student expelled for bringing a gun to school.",Democratic,06/12/1998
"S. 70",https://www.congress.gov/bill/105th-congress/senate-bill/70,"105th Congress (1997-1998)","American Handgun Standards Act of 1997",Democratic,01/21/1997
"S. 763",https://www.congress.gov/bill/105th-congress/senate-bill/763,"105th Congress (1997-1998)","Safe Schools Act of 1997",Republican,05/19/1997
"H.R. 492",https://www.congress.gov/bill/105th-congress/house-bill/492,"105th Congress (1997-1998)","American Handgun Standards Act of 1997",Democratic,01/21/1997
"H.R. 741",https://www.congress.gov/bill/105th-congress/house-bill/741,"105th Congress (1997-1998)","Migratory Bird Treaty Reform Act of 1997",Republican,02/12/1997
"H.R. 1009",https://www.congress.gov/bill/105th-congress/house-bill/1009,"105th Congress (1997-1998)","States' Rights and Second and Tenth Amendment Restoration Act of 1997",Republican,03/11/1997
"S.Con.Res. 123",https://www.congress.gov/bill/105th-congress/senate-concurrent-resolution/123,"105th Congress (1997-1998)","A concurrent resolution to express the sense of the Congress regarding the policy of the Forest Service toward recreational shooting and archery ranges on Federal land.",Republican,10/01/1998
"S. 989",https://www.congress.gov/bill/105th-congress/senate-bill/989,"105th Congress (1997-1998)","Safer Schools Act of 1997",Democratic,07/07/1997
"H.Con.Res. 332",https://www.congress.gov/bill/105th-congress/house-concurrent-resolution/332,"105th Congress (1997-1998)","Expressing the sense of Congress regarding the policy of the Forest Service toward recreational shooting and archery ranges on Federal land.",Republican,10/02/1998
"H.R. 4444",https://www.congress.gov/bill/105th-congress/house-bill/4444,"105th Congress (1997-1998)","Child Firearm Access Prevention Act",Democratic,08/06/1998
"S. 1917",https://www.congress.gov/bill/105th-congress/senate-bill/1917,"105th Congress (1997-1998)","Child Firearm Access Prevention Act",Democratic,04/02/1998
"H.R. 1998",https://www.congress.gov/bill/105th-congress/house-bill/1998,"105th Congress (1997-1998)","Yates Firearm Registration and Crime Prevention Act of 1997",Democratic,06/19/1997
"H.R. 2721",https://www.congress.gov/bill/105th-congress/house-bill/2721,"105th Congress (1997-1998)","Second Amendment Protection Act of 1997",Republican,10/23/1997
"H.R. 278",https://www.congress.gov/bill/105th-congress/house-bill/278,"105th Congress (1997-1998)","Balanced Juvenile Justice and Crime Prevention Act of 1997",Democratic,01/07/1997
"H.R. 2734",https://www.congress.gov/bill/105th-congress/house-bill/2734,"105th Congress (1997-1998)","Consumer's Choice Protection Act of 1997",Republican,10/24/1997
"S. 362",https://www.congress.gov/bill/105th-congress/senate-bill/362,"105th Congress (1997-1998)","Anti-Gang and Youth Violence Act of 1997",Democratic,02/26/1997
"H.R. 810",https://www.congress.gov/bill/105th-congress/house-bill/810,"105th Congress (1997-1998)","Anti-Gang and Youth Violence Act of 1997",Democratic,02/25/1997
"S. 2317",https://www.congress.gov/bill/105th-congress/senate-bill/2317,"105th Congress (1997-1998)","National Wildlife Refuge System Improvement Act of 1998",Republican,07/16/1998
"H.R. 1084",https://www.congress.gov/bill/105th-congress/house-bill/1084,"105th Congress (1997-1998)","Protective Order Enforcement Act",Democratic,03/17/1997
"H.R. 787",https://www.congress.gov/bill/105th-congress/house-bill/787,"105th Congress (1997-1998)","Public Health and Safety Act of 1997",Democratic,02/13/1997
"S. 15",https://www.congress.gov/bill/105th-congress/senate-bill/15,"105th Congress (1997-1998)","Youth Violence, Crime, and Drug Abuse Control Act of 1997",Democratic,01/21/1997
"S. 2484",https://www.congress.gov/bill/105th-congress/senate-bill/2484,"105th Congress (1997-1998)","Safe Schools, Safe Streets, and Secure Borders Act of 1998",Democratic,09/16/1998
"H.R. 1147",https://www.congress.gov/bill/105th-congress/house-bill/1147,"105th Congress (1997-1998)","Second Amendment Restoration Act of 1997",Republican,03/20/1997
