Classification,Sentiment Scores
control,-0.9349
control,-0.9883
control,-0.9904
control,-0.9612
control,0.9951
control,0.9991
control,-0.9979
control,0.9995
control,0.9997
control,-0.5958
control,0.9932
control,0.7761
control,-0.872
control,-0.9933
control,-0.9918
control,-0.896
control,0.9995
control,0.9995
control,1.0
control,-0.9998
control,0.9896
control,-0.998
control,-0.9999
control,-0.9999
control,1.0
control,0.9998
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,0.0258
control,-0.9984
control,-0.9978
control,-0.9997
control,0.9313
control,-0.9984
control,-0.9913
control,-0.948
control,0.0618
control,-0.9978
control,0.8759
control,-0.5719
control,-0.9997
control,-0.9976
control,0.7882
control,0.9873
control,-0.9859
control,-0.991
control,-0.9879
control,0.9825
control,-0.9879
control,0.908
control,-0.6037
control,-0.6896
control,-0.9466
control,-0.6037
control,0.998
control,-0.9926
control,-0.995
control,-0.9819
control,-0.9944
control,-0.5475
control,-0.7579
control,-0.9842
control,-0.946
control,-0.9842
control,-0.5475
control,0.9339
control,-0.8402
control,0.836
control,0.9849
control,0.9605
control,-0.961
control,0.9973
control,-0.4803
control,0.9141
control,-0.9997
control,0.9429
control,0.9949
control,-0.8807
control,0.9994
control,0.9995
control,-0.9642
control,-0.9655
control,-0.8788
control,-0.9887
control,-0.4466
control,0.6808
control,0.936
control,-0.9846
control,-0.9846
control,0.8797
control,0.8602
control,-0.5958
control,-0.9349
control,0.216
control,0.9936
control,0.9893
control,0.9947
control,-0.9958
control,0.7761
control,0.9855
control,0.2529
control,0.2529
control,0.9905
control,-0.9959
control,0.9995
control,0.9995
control,1.0
control,-0.9998
control,-0.9985
control,-0.986
control,0.9208
control,0.216
control,0.9923
control,0.9998
control,1.0
control,-0.9999
control,0.9999
control,1.0
control,1.0
control,-1.0
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,0.0258
control,-0.9984
control,-0.9997
control,-0.998
control,-0.9995
control,-0.9985
control,-0.4404
control,-0.9986
control,-0.9984
control,-0.9913
control,-0.995
control,0.0618
control,-1.0
control,-0.9987
control,-0.9998
control,-0.5719
control,-0.9699
control,-0.9998
control,0.9873
control,-0.9859
control,-0.9879
control,0.9037
control,-0.991
control,-0.9175
control,-0.9898
control,-0.9328
control,-0.9968
control,-0.872
control,-0.872
control,-0.991
control,0.908
control,-0.6896
control,0.9864
control,-0.6037
control,-0.9466
control,-0.6037
control,-0.999
control,-0.3818
control,-0.4466
control,0.9979
control,0.8668
control,0.9509
control,-0.9819
